game_name,game_id,category_name,category_id,level_id,date,user_id,run_id,time
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-06-28T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-07-05T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-07-12T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-07-19T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-07-26T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-08-02T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-08-09T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-08-16T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-08-23T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-08-30T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-09-06T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-09-13T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-09-20T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-09-27T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-10-04T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-10-11T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-10-18T00:00:00,jmoz0m48,yvr5rnez,2665
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-10-25T00:00:00,jmoz0m48,yvr5rnez,2665
